No.,Time,Source,Destination,Protocol,Length,Info,,
599,104.6707355,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=444/48129, ttl=128 (reply in 600)",,
600,104.7042365,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=444/48129, ttl=113 (request in 599)",,
604,105.6779049,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=445/48385, ttl=128 (reply in 605)",,
605,105.7128974,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=445/48385, ttl=113 (request in 604)",,
606,106.6850782,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=446/48641, ttl=128 (reply in 607)",,
607,106.7181614,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=446/48641, ttl=113 (request in 606)",,
608,107.7002136,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=447/48897, ttl=128 (reply in 609)",,
609,107.7358416,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=447/48897, ttl=113 (request in 608)",,
610,108.7136836,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=448/49153, ttl=128 (reply in 611)",,
611,108.7475418,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=448/49153, ttl=113 (request in 610)",,
614,109.7239886,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=449/49409, ttl=128 (reply in 615)",,
615,109.758105,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=449/49409, ttl=113 (request in 614)",,
618,110.7364098,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=450/49665, ttl=128 (reply in 619)",,
619,110.7717329,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=450/49665, ttl=113 (request in 618)",,
620,111.7451705,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=451/49921, ttl=128 (reply in 621)",,
621,111.7950664,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=451/49921, ttl=113 (request in 620)",,
622,112.7554249,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=452/50177, ttl=128 (reply in 623)",,
623,112.7887066,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=452/50177, ttl=113 (request in 622)",,
624,113.7674796,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=453/50433, ttl=128 (reply in 625)",,
625,113.801136,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=453/50433, ttl=113 (request in 624)",,
641,114.7840909,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=454/50689, ttl=128 (reply in 651)",,
651,114.8180076,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=454/50689, ttl=113 (request in 641)",,
728,115.7902338,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=455/50945, ttl=128 (reply in 729)",,
729,115.8645286,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=455/50945, ttl=113 (request in 728)",,
806,116.8113972,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=456/51201, ttl=128 (reply in 807)",,
807,116.8672619,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=456/51201, ttl=113 (request in 806)",,
817,117.830694,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=457/51457, ttl=128 (reply in 818)",,
818,117.8641005,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=457/51457, ttl=113 (request in 817)",,
845,118.8448212,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=458/51713, ttl=128 (reply in 847)",,
847,118.8775935,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=458/51713, ttl=113 (request in 845)",,
1016,119.8595609,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=459/51969, ttl=128 (reply in 1017)",,
1017,119.8989476,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=459/51969, ttl=113 (request in 1016)",,
1151,120.86594,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=460/52225, ttl=128 (reply in 1152)",,
1152,120.8988767,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=460/52225, ttl=113 (request in 1151)",,
1282,121.8843392,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=461/52481, ttl=128 (reply in 1289)",,
1289,121.9174553,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=461/52481, ttl=113 (request in 1282)",,
1394,122.8913072,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=462/52737, ttl=128 (reply in 1395)",,
1395,122.9240312,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=462/52737, ttl=113 (request in 1394)",,
1515,123.9011559,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=463/52993, ttl=128 (reply in 1520)",,
1520,123.9358604,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=463/52993, ttl=113 (request in 1515)",,
1639,124.9092781,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=464/53249, ttl=128 (reply in 1644)",,
1644,124.9439414,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=464/53249, ttl=113 (request in 1639)",,
1757,125.9268556,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=465/53505, ttl=128 (reply in 1758)",,
1758,125.9609986,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=465/53505, ttl=113 (request in 1757)",,
1822,126.9349335,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=466/53761, ttl=128 (reply in 1823)",,
1823,126.9680569,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=466/53761, ttl=113 (request in 1822)",,
1873,127.954179,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=467/54017, ttl=128 (reply in 1874)",,
1874,127.9872418,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=467/54017, ttl=113 (request in 1873)",,
1929,128.9736804,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=468/54273, ttl=128 (reply in 1930)",,
1930,129.0066229,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=468/54273, ttl=113 (request in 1929)",,
1991,129.978656,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=469/54529, ttl=128 (reply in 1995)",,
1995,130.0118931,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=469/54529, ttl=113 (request in 1991)",,
2076,130.993977,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=470/54785, ttl=128 (reply in 2077)",,
2077,131.0474844,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=470/54785, ttl=113 (request in 2076)",,
2272,132.0135071,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=471/55041, ttl=128 (reply in 2274)",,
2274,132.0465866,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=471/55041, ttl=113 (request in 2272)",,
2276,133.0302475,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=472/55297, ttl=128 (reply in 2277)",,
2277,133.0630019,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=472/55297, ttl=113 (request in 2276)",,
2297,134.0402724,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=473/55553, ttl=128 (reply in 2298)",,
2298,134.0746531,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=473/55553, ttl=113 (request in 2297)",,
2363,135.0514108,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=474/55809, ttl=128 (reply in 2370)",,
2370,135.0856894,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=474/55809, ttl=113 (request in 2363)",,
2424,136.0551743,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=475/56065, ttl=128 (reply in 2425)",,
2425,136.0881671,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=475/56065, ttl=113 (request in 2424)",,
2543,137.0613157,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=476/56321, ttl=128 (reply in 2544)",,
2544,137.1005928,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=476/56321, ttl=113 (request in 2543)",,
2560,138.0708161,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=477/56577, ttl=128 (reply in 2562)",,
2562,138.1058341,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=477/56577, ttl=113 (request in 2560)",,
2612,139.0922479,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=478/56833, ttl=128 (reply in 2618)",,
2618,139.1289712,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=478/56833, ttl=113 (request in 2612)",,
2816,140.0983645,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=479/57089, ttl=128 (reply in 2829)",,
2829,140.1312643,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=479/57089, ttl=113 (request in 2816)",,
3023,141.1071582,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=480/57345, ttl=128 (reply in 3024)",,
3024,141.1397931,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=480/57345, ttl=113 (request in 3023)",,
3031,142.1256495,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=481/57601, ttl=128 (reply in 3032)",,
3032,142.1583749,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=481/57601, ttl=113 (request in 3031)",,
3041,143.1438982,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=482/57857, ttl=128 (reply in 3042)",,
3042,143.1771859,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=482/57857, ttl=113 (request in 3041)",,
3061,144.1579741,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=483/58113, ttl=128 (reply in 3062)",,
3062,144.1975854,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=483/58113, ttl=113 (request in 3061)",,
3104,145.1706028,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=484/58369, ttl=128 (reply in 3105)",,
3105,145.2051548,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=484/58369, ttl=113 (request in 3104)",,
3259,146.1811168,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=485/58625, ttl=128 (reply in 3321)",,
3321,146.2137145,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=485/58625, ttl=113 (request in 3259)",,
3337,147.18761,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=486/58881, ttl=128 (reply in 3338)",,
3338,147.2205589,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=486/58881, ttl=113 (request in 3337)",,
3339,148.205873,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=487/59137, ttl=128 (reply in 3340)",,
3340,148.2385509,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=487/59137, ttl=113 (request in 3339)",,
3341,149.2182997,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=488/59393, ttl=128 (reply in 3342)",,
3342,149.2509802,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=488/59393, ttl=113 (request in 3341)",,
3344,150.2378823,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=489/59649, ttl=128 (reply in 3345)",,
3345,150.2708848,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=489/59649, ttl=113 (request in 3344)",,
3358,151.256834,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=490/59905, ttl=128 (reply in 3359)",,
3359,151.2898541,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=490/59905, ttl=113 (request in 3358)",,
3374,152.2707857,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=491/60161, ttl=128 (reply in 3379)",,
3379,152.3038363,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=491/60161, ttl=113 (request in 3374)",,
3381,153.2850214,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=492/60417, ttl=128 (reply in 3382)",,
3382,153.3179925,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=492/60417, ttl=113 (request in 3381)",,
3385,154.3049724,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=493/60673, ttl=128 (reply in 3386)",,
3386,154.3380053,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=493/60673, ttl=113 (request in 3385)",,
3395,155.3092046,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=494/60929, ttl=128 (reply in 3396)",,
3396,155.3436936,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=494/60929, ttl=113 (request in 3395)",,
3397,156.3133551,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=495/61185, ttl=128 (reply in 3398)",,
3398,156.3464721,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=495/61185, ttl=113 (request in 3397)",,
3401,157.3313835,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=496/61441, ttl=128 (reply in 3402)",,
3402,157.3641486,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=496/61441, ttl=113 (request in 3401)",,
3407,158.3468286,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=497/61697, ttl=128 (reply in 3408)",,
3408,158.3927498,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=497/61697, ttl=113 (request in 3407)",,
3409,159.3645056,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=498/61953, ttl=128 (reply in 3410)",,
3410,159.3983094,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=498/61953, ttl=113 (request in 3409)",,
3411,160.3841678,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=499/62209, ttl=128 (reply in 3412)",,
3412,160.4168483,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=499/62209, ttl=113 (request in 3411)",,
3413,161.3998743,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=500/62465, ttl=128 (reply in 3414)",,
3414,161.4329491,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=500/62465, ttl=113 (request in 3413)",,
3418,162.4157626,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=501/62721, ttl=128 (reply in 3419)",,
3419,162.4484748,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=501/62721, ttl=113 (request in 3418)",,
3420,163.4323615,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=502/62977, ttl=128 (reply in 3421)",,
3421,163.4658432,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=502/62977, ttl=113 (request in 3420)",,
3424,164.451061,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=503/63233, ttl=128 (reply in 3425)",,
3425,164.4840572,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=503/63233, ttl=113 (request in 3424)",,
3426,165.4669487,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=504/63489, ttl=128 (reply in 3427)",,
3427,165.4995299,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=504/63489, ttl=113 (request in 3426)",,
3428,166.4811909,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=505/63745, ttl=128 (reply in 3429)",,
3429,166.5135023,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=505/63745, ttl=113 (request in 3428)",,
3430,167.4971222,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=506/64001, ttl=128 (reply in 3431)",,
3431,167.5300934,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=506/64001, ttl=113 (request in 3430)",,
3432,168.5130181,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=507/64257, ttl=128 (reply in 3433)",,
3433,168.551024,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=507/64257, ttl=113 (request in 3432)",,
3434,169.5285307,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=508/64513, ttl=128 (reply in 3435)",,
3435,169.5621609,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=508/64513, ttl=113 (request in 3434)",,
3436,170.5442247,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=509/64769, ttl=128 (reply in 3437)",,
3437,170.5772798,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=509/64769, ttl=113 (request in 3436)",,
3458,171.5655698,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=510/65025, ttl=128 (reply in 3459)",,
3459,171.5984622,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=510/65025, ttl=113 (request in 3458)",,
3460,172.5761523,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=511/65281, ttl=128 (reply in 3461)",,
3461,172.6137655,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=511/65281, ttl=113 (request in 3460)",,
3462,173.5860295,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=512/2, ttl=128 (reply in 3463)",,
3463,173.618963,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=512/2, ttl=113 (request in 3462)",,
3464,174.5987675,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=513/258, ttl=128 (reply in 3465)",,
3465,174.6319911,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=513/258, ttl=113 (request in 3464)",,
3466,175.606189,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=514/514, ttl=128 (reply in 3467)",,
3467,175.6415474,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=514/514, ttl=113 (request in 3466)",,
3470,176.6247524,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=515/770, ttl=128 (reply in 3472)",,
3472,176.6602462,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=515/770, ttl=113 (request in 3470)",,
3475,177.6419588,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=516/1026, ttl=128 (reply in 3476)",,
3476,177.680736,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=516/1026, ttl=113 (request in 3475)",,
3477,178.6574092,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=517/1282, ttl=128 (reply in 3478)",,
3478,178.6921591,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=517/1282, ttl=113 (request in 3477)",,
3479,179.6749324,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=518/1538, ttl=128 (reply in 3480)",,
3480,179.7081502,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=518/1538, ttl=113 (request in 3479)",,
3481,180.6914238,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=519/1794, ttl=128 (reply in 3482)",,
3482,180.7244165,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=519/1794, ttl=113 (request in 3481)",,
3486,181.7070861,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=520/2050, ttl=128 (reply in 3487)",,
3487,181.7455434,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=520/2050, ttl=113 (request in 3486)",,
3488,182.7208373,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=521/2306, ttl=128 (reply in 3489)",,
3489,182.7539192,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=521/2306, ttl=113 (request in 3488)",,
3491,183.7353165,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=522/2562, ttl=128 (reply in 3493)",,
3493,183.7678694,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=522/2562, ttl=113 (request in 3491)",,
3494,184.7502092,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=523/2818, ttl=128 (reply in 3495)",,
3495,184.7829772,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=523/2818, ttl=113 (request in 3494)",,
3496,185.763188,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=524/3074, ttl=128 (reply in 3497)",,
3497,185.7987698,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=524/3074, ttl=113 (request in 3496)",,
3500,186.7818596,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=525/3330, ttl=128 (reply in 3501)",,
3501,186.815141,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=525/3330, ttl=113 (request in 3500)",,
3504,187.8004851,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=526/3586, ttl=128 (reply in 3505)",,
3505,187.8335983,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=526/3586, ttl=113 (request in 3504)",,
3506,188.8183229,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=527/3842, ttl=128 (reply in 3507)",,
3507,188.851133,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=527/3842, ttl=113 (request in 3506)",,
3508,189.8412262,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=528/4098, ttl=128 (reply in 3509)",,
3509,189.8751607,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=528/4098, ttl=113 (request in 3508)",,
3510,190.8595483,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=529/4354, ttl=128 (reply in 3511)",,
3511,190.8933796,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=529/4354, ttl=113 (request in 3510)",,
3514,191.8761411,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=530/4610, ttl=128 (reply in 3515)",,
3515,191.9087633,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=530/4610, ttl=113 (request in 3514)",,
3516,192.8939624,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=531/4866, ttl=128 (reply in 3517)",,
3517,192.9270714,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=531/4866, ttl=113 (request in 3516)",,
3518,193.9057041,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=532/5122, ttl=128 (reply in 3519)",,
3519,193.9389548,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=532/5122, ttl=113 (request in 3518)",,
3520,194.9199044,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=533/5378, ttl=128 (reply in 3521)",,
3521,194.9531374,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=533/5378, ttl=113 (request in 3520)",,
3522,195.9290742,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=534/5634, ttl=128 (reply in 3523)",,
3523,195.9629054,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=534/5634, ttl=113 (request in 3522)",,
3524,196.9476118,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=535/5890, ttl=128 (reply in 3525)",,
3525,196.9813921,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=535/5890, ttl=113 (request in 3524)",,
3562,197.9566168,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=536/6146, ttl=128 (reply in 3563)",,
3563,197.9894979,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=536/6146, ttl=113 (request in 3562)",,
3606,198.9646089,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=537/6402, ttl=128 (reply in 3607)",,
3607,198.9985087,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=537/6402, ttl=113 (request in 3606)",,
3610,199.9812918,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=538/6658, ttl=128 (reply in 3611)",,
3611,200.0141808,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=538/6658, ttl=113 (request in 3610)",,
